system:index,ID,mean,median,source,stdDev,.geo
1_1_19840524_7,UCDSNM005339,0.31360579189959537,0.31527774035930634,LANDSAT/LT5_L1T_8DAY_NDVI/19840524,0.0565047003841225,
1_1_19840524_20,UCDSNM016357,0.41009133696556094,0.3957706391811371,LANDSAT/LT5_L1T_8DAY_NDVI/19840524,0.042736234769476,
1_1_19840524_15,UCDSNM012985,0.06487912193618038,0.06029801070690155,LANDSAT/LT5_L1T_8DAY_NDVI/19840524,0.04697062781252391,
1_1_19840524_14,UCDSNM012863,0.5021048545837402,0.4813825488090515,LANDSAT/LT5_L1T_8DAY_NDVI/19840524,0.058666627097946955,
1_1_19840524_17,UCDSNM014209,0.13996429676906422,0.1086534783244133,LANDSAT/LT5_L1T_8DAY_NDVI/19840524,0.11294638581587603,
1_1_19840524_2,UCDSNM000195,0.5577422252723149,0.5513201653957367,LANDSAT/LT5_L1T_8DAY_NDVI/19840524,0.054350357597357464,
1_1_19840524_8,UCDSNM009725,0.4827027142047882,0.4823252558708191,LANDSAT/LT5_L1T_8DAY_NDVI/19840524,0.036784847461830604,
1_1_19840524_13,UCDSNM012349,0.4012724757194519,0.38589853048324585,LANDSAT/LT5_L1T_8DAY_NDVI/19840524,0.027832039376360567,
1_1_19840601_12,UCDSNM011600,0.5674200247094481,0.5776922255754471,LANDSAT/LT5_L1T_8DAY_NDVI/19840601,0.07795422162951421,
1_1_19840601_22,UCDSNM016589,0.198785072483054,0.18498337268829346,LANDSAT/LT5_L1T_8DAY_NDVI/19840601,0.054603812367079826,
1_1_19840601_19,UCDSNM015782,0.3664858436191475,0.3725322037935257,LANDSAT/LT5_L1T_8DAY_NDVI/19840601,0.04763710697202201,
1_1_19840601_6,UCDSNM004476,0.0997935435562222,0.1003100834786892,LANDSAT/LT5_L1T_8DAY_NDVI/19840601,0.02628561751967066,
1_1_19840601_10,UCDSNM011455,0.009217666870037127,0.006489548599347472,LANDSAT/LT5_L1T_8DAY_NDVI/19840601,0.02755639859340654,
1_1_19840601_9,UCDSNM011447,0.00853928052917278,0.011802155990153551,LANDSAT/LT5_L1T_8DAY_NDVI/19840601,0.03414138438877056,
1_1_19840601_11,UCDSNM011536,0.09815753659460738,0.03607198782265186,LANDSAT/LT5_L1T_8DAY_NDVI/19840601,0.13285195279571635,
1_1_19840601_7,UCDSNM005339,0.35339309141207276,0.3463244636853536,LANDSAT/LT5_L1T_8DAY_NDVI/19840601,0.0682880914765405,
1_1_19840601_21,UCDSNM016565,0.23028661434849104,0.23596004396677017,LANDSAT/LT5_L1T_8DAY_NDVI/19840601,0.03163422241024845,
1_1_19840601_20,UCDSNM016357,0.3769063138961792,0.3759220838546753,LANDSAT/LT5_L1T_8DAY_NDVI/19840601,0.030149510306576623,
1_1_19840601_23,UCDSNM016769,0.49612022067109746,0.48361946642398834,LANDSAT/LT5_L1T_8DAY_NDVI/19840601,0.04360506482985993,
1_1_19840601_5,UCDSNM003796,0.06362956592982466,0.061304934322834015,LANDSAT/LT5_L1T_8DAY_NDVI/19840601,0.013695952642767484,
1_1_19840609_3,UCDSNM000426,0.38989701751035766,0.3788563951981806,LANDSAT/LT5_L1T_8DAY_NDVI/19840609,0.15413095161169738,
1_1_19840609_4,UCDSNM001115,0.17132064176138176,0.1271808053317823,LANDSAT/LT5_L1T_8DAY_NDVI/19840609,0.11025770716580406,
1_1_19840609_7,UCDSNM005339,0.09813783280132862,0.08732462177673976,LANDSAT/LT5_L1T_8DAY_NDVI/19840609,0.03553080526829651,
1_1_19840609_20,UCDSNM016357,0.5130810558795929,0.5194268226623535,LANDSAT/LT5_L1T_8DAY_NDVI/19840609,0.04914183730389308,
1_1_19840609_23,UCDSNM016769,0.31721243386467296,0.2755151391029358,LANDSAT/LT5_L1T_8DAY_NDVI/19840609,0.1471294134919193,
1_1_19840609_2,UCDSNM000195,0.12240990410958018,0.12183121591806412,LANDSAT/LT5_L1T_8DAY_NDVI/19840609,0.003062701337990666,
1_1_19840609_8,UCDSNM009725,0.4589411735534668,0.4678598642349243,LANDSAT/LT5_L1T_8DAY_NDVI/19840609,0.041653369506621775,
1_1_19840617_12,UCDSNM011600,0.6290758521453883,0.6492366393407186,LANDSAT/LT5_L1T_8DAY_NDVI/19840617,0.07528195250336357,
1_1_19840617_6,UCDSNM004476,0.48512199907391157,0.4938277006149292,LANDSAT/LT5_L1T_8DAY_NDVI/19840617,0.04816581560548829,
1_1_19840617_10,UCDSNM011455,0.07413838762139287,0.04993122909218073,LANDSAT/LT5_L1T_8DAY_NDVI/19840617,0.08040806751054569,
1_1_19840617_9,UCDSNM011447,0.14374380289033675,0.13049038002888363,LANDSAT/LT5_L1T_8DAY_NDVI/19840617,0.08967730639080053,
1_1_19840617_11,UCDSNM011536,0.39078964328482035,0.39370182156562805,LANDSAT/LT5_L1T_8DAY_NDVI/19840617,0.08016604594837078,
1_1_19840617_7,UCDSNM005339,0.40498875751254265,0.41082416474819183,LANDSAT/LT5_L1T_8DAY_NDVI/19840617,0.08077006735480124,
1_1_19840617_5,UCDSNM003796,0.6214378232305701,0.6483181715011597,LANDSAT/LT5_L1T_8DAY_NDVI/19840617,0.0926447068533774,
1_1_19840625_3,UCDSNM000426,0.40665083587985135,0.3888196790659869,LANDSAT/LT5_L1T_8DAY_NDVI/19840625,0.14748844109042428,
1_1_19840625_4,UCDSNM001115,0.4366539572528133,0.4593724177943336,LANDSAT/LT5_L1T_8DAY_NDVI/19840625,0.1507682169958227,
1_1_19840625_12,UCDSNM011600,0.6327016419944573,0.6494105458259583,LANDSAT/LT5_L1T_8DAY_NDVI/19840625,0.08175149371820592,
1_1_19840625_18,UCDSNM014503,0.4870051109777394,0.4964515229066213,LANDSAT/LT5_L1T_8DAY_NDVI/19840625,0.1559941279803653,
1_1_19840625_10,UCDSNM011455,0.25012742812811795,0.25112828612327576,LANDSAT/LT5_L1T_8DAY_NDVI/19840625,0.08540506952491583,
1_1_19840625_9,UCDSNM011447,0.3227334641334083,0.32597313821315765,LANDSAT/LT5_L1T_8DAY_NDVI/19840625,0.0841296866943618,
1_1_19840625_11,UCDSNM011536,0.541382542678288,0.5425586104393005,LANDSAT/LT5_L1T_8DAY_NDVI/19840625,0.10178500436125115,
1_1_19840625_16,UCDSNM013064,0.6077948734164238,0.6248853206634521,LANDSAT/LT5_L1T_8DAY_NDVI/19840625,0.06448453123696764,
1_1_19840625_7,UCDSNM005339,0.4177537058176619,0.431236606836319,LANDSAT/LT5_L1T_8DAY_NDVI/19840625,0.08588839400823751,
1_1_19840625_20,UCDSNM016357,0.5457346713542939,0.5422834753990173,LANDSAT/LT5_L1T_8DAY_NDVI/19840625,0.0526028179974363,
1_1_19840625_23,UCDSNM016769,0.6114546780784925,0.6105011999607086,LANDSAT/LT5_L1T_8DAY_NDVI/19840625,0.035561212813834654,
1_1_19840625_15,UCDSNM012985,0.4226243035359816,0.4254111647605896,LANDSAT/LT5_L1T_8DAY_NDVI/19840625,0.08858735528309444,
1_1_19840625_14,UCDSNM012863,0.5847069501876831,0.5879217982292175,LANDSAT/LT5_L1T_8DAY_NDVI/19840625,0.07249472074775795,
1_1_19840625_17,UCDSNM014209,0.6297567899410541,0.6328427791595459,LANDSAT/LT5_L1T_8DAY_NDVI/19840625,0.057610367626805575,
1_1_19840625_2,UCDSNM000195,0.6118591853550502,0.5920417904853821,LANDSAT/LT5_L1T_8DAY_NDVI/19840625,0.05506880264521421,
1_1_19840625_13,UCDSNM012349,0.5827849507331848,0.5871205925941467,LANDSAT/LT5_L1T_8DAY_NDVI/19840625,0.04099375534573516,
1_1_19840703_12,UCDSNM011600,0.6366836484088454,0.6556658625602723,LANDSAT/LT5_L1T_8DAY_NDVI/19840703,0.08155973196326738,
1_1_19840703_22,UCDSNM016589,0.3255475259838848,0.3587387502193451,LANDSAT/LT5_L1T_8DAY_NDVI/19840703,0.17690304960257655,
1_1_19840703_19,UCDSNM015782,0.6105748080945277,0.6162962516148885,LANDSAT/LT5_L1T_8DAY_NDVI/19840703,0.07094745570172878,
1_1_19840703_6,UCDSNM004476,0.4891013064318233,0.537282794713974,LANDSAT/LT5_L1T_8DAY_NDVI/19840703,0.12014858850807603,
1_1_19840703_10,UCDSNM011455,0.440529676420348,0.44574324786663055,LANDSAT/LT5_L1T_8DAY_NDVI/19840703,0.13800378483216139,
1_1_19840703_9,UCDSNM011447,0.5644457799692949,0.5860416293144226,LANDSAT/LT5_L1T_8DAY_NDVI/19840703,0.11168344347861145,
1_1_19840703_11,UCDSNM011536,0.6220675039859045,0.6012868285179138,LANDSAT/LT5_L1T_8DAY_NDVI/19840703,0.1186616268513454,
1_1_19840703_7,UCDSNM005339,0.44881576249438726,0.468670517206192,LANDSAT/LT5_L1T_8DAY_NDVI/19840703,0.10268885584768675,
1_1_19840703_21,UCDSNM016565,0.3832255316277345,0.3949747830629349,LANDSAT/LT5_L1T_8DAY_NDVI/19840703,0.0787228840368871,
1_1_19840703_20,UCDSNM016357,0.5560495841503144,0.5567468404769897,LANDSAT/LT5_L1T_8DAY_NDVI/19840703,0.059305585917102846,
1_1_19840703_23,UCDSNM016769,0.5702622073392073,0.5711472928524017,LANDSAT/LT5_L1T_8DAY_NDVI/19840703,0.03836054582202327,
1_1_19840703_5,UCDSNM003796,0.5996854711662639,0.638315737247467,LANDSAT/LT5_L1T_8DAY_NDVI/19840703,0.09279049896828712,
1_1_19840703_2,UCDSNM000195,0.6534346895558494,0.6469746232032776,LANDSAT/LT5_L1T_8DAY_NDVI/19840703,0.04421108314540146,
1_1_19840711_7,UCDSNM005339,0.25575627763284725,0.23513547331094742,LANDSAT/LT5_L1T_8DAY_NDVI/19840711,0.09675850434247486,
1_1_19840711_8,UCDSNM009725,0.06321195140480995,0.06345387548208237,LANDSAT/LT5_L1T_8DAY_NDVI/19840711,0.0020944335215863676,
1_1_19840719_12,UCDSNM011600,0.09839456375112812,0.1039812597963545,LANDSAT/LT5_L1T_8DAY_NDVI/19840719,0.258886392519794,
1_1_19840719_11,UCDSNM011536,0.36979015005959404,0.3975372612476349,LANDSAT/LT5_L1T_8DAY_NDVI/19840719,0.07366655089753539,
1_1_19840727_20,UCDSNM016357,0.5811638247966766,0.5769590735435486,LANDSAT/LT5_L1T_8DAY_NDVI/19840727,0.05050448152501977,
1_1_19840727_23,UCDSNM016769,0.5337381723026434,0.5421753525733948,LANDSAT/LT5_L1T_8DAY_NDVI/19840727,0.050434403506178824,
1_1_19840804_12,UCDSNM011600,0.5538883958247017,0.5669951836268107,LANDSAT/LT5_L1T_8DAY_NDVI/19840804,0.09410808897457931,
1_1_19840804_22,UCDSNM016589,0.4208542106485148,0.4254704813162486,LANDSAT/LT5_L1T_8DAY_NDVI/19840804,0.06488881632684786,
1_1_19840804_19,UCDSNM015782,0.6129349037841126,0.6360741257667542,LANDSAT/LT5_L1T_8DAY_NDVI/19840804,0.07362072238602763,
1_1_19840804_6,UCDSNM004476,0.5451038982029315,0.5606113076210022,LANDSAT/LT5_L1T_8DAY_NDVI/19840804,0.06854539404934924,
1_1_19840804_10,UCDSNM011455,0.5299800040998629,0.553730383515358,LANDSAT/LT5_L1T_8DAY_NDVI/19840804,0.15262363141163837,
1_1_19840804_9,UCDSNM011447,0.5939599167969491,0.6092336773872375,LANDSAT/LT5_L1T_8DAY_NDVI/19840804,0.12816703750158934,
1_1_19840804_11,UCDSNM011536,0.51031926771005,0.5201253890991211,LANDSAT/LT5_L1T_8DAY_NDVI/19840804,0.0808930225834191,
1_1_19840804_7,UCDSNM005339,0.44666983940628135,0.4757492244243622,LANDSAT/LT5_L1T_8DAY_NDVI/19840804,0.10313829501951875,
1_1_19840804_21,UCDSNM016565,0.36860023997724056,0.3788774609565735,LANDSAT/LT5_L1T_8DAY_NDVI/19840804,0.1255557828867221,
1_1_19840804_20,UCDSNM016357,0.5823788404464721,0.5833919048309326,LANDSAT/LT5_L1T_8DAY_NDVI/19840804,0.054101185398906564,
1_1_19840804_23,UCDSNM016769,0.4794897908965747,0.48715440928936005,LANDSAT/LT5_L1T_8DAY_NDVI/19840804,0.06061494840804299,
1_1_19840804_5,UCDSNM003796,0.6035536337982524,0.6116732954978943,LANDSAT/LT5_L1T_8DAY_NDVI/19840804,0.07950004040134709,
1_1_19840804_8,UCDSNM009725,0.4230389058589935,0.39840641617774963,LANDSAT/LT5_L1T_8DAY_NDVI/19840804,0.07746488990179881,
1_1_19840905_22,UCDSNM016589,0.3489732636360947,0.34992319345474243,LANDSAT/LT5_L1T_8DAY_NDVI/19840905,0.056021114667593755,
1_1_19840905_19,UCDSNM015782,0.5554383007379678,0.5771483977635702,LANDSAT/LT5_L1T_8DAY_NDVI/19840905,0.06619840096485487,
1_1_19840905_21,UCDSNM016565,0.28288051672279835,0.2856014519929886,LANDSAT/LT5_L1T_8DAY_NDVI/19840905,0.08332034356196007,
1_1_19840905_20,UCDSNM016357,0.5282694971561432,0.5354892611503601,LANDSAT/LT5_L1T_8DAY_NDVI/19840905,0.04518596417763203,
1_1_19840905_23,UCDSNM016769,0.3826726774374644,0.3930014669895172,LANDSAT/LT5_L1T_8DAY_NDVI/19840905,0.056907489006097385,
1_1_19840913_12,UCDSNM011600,0.4731157851773639,0.48483070731163025,LANDSAT/LT5_L1T_8DAY_NDVI/19840913,0.07991540425513283,
1_1_19840913_18,UCDSNM014503,0.4161721002672897,0.42531660695870716,LANDSAT/LT5_L1T_8DAY_NDVI/19840913,0.07357347274348043,
1_1_19840913_10,UCDSNM011455,0.41920524888804983,0.42522023618221283,LANDSAT/LT5_L1T_8DAY_NDVI/19840913,0.10352326636871778,
1_1_19840913_9,UCDSNM011447,0.42913540701071423,0.42243190109729767,LANDSAT/LT5_L1T_8DAY_NDVI/19840913,0.08115255190493602,
1_1_19840913_11,UCDSNM011536,0.4480226912668773,0.46224524080753326,LANDSAT/LT5_L1T_8DAY_NDVI/19840913,0.07095841353720568,
1_1_19840913_16,UCDSNM013064,0.5515439845621586,0.5566681325435638,LANDSAT/LT5_L1T_8DAY_NDVI/19840913,0.06662077356030655,
1_1_19840913_15,UCDSNM012985,0.4425986409187317,0.44243016839027405,LANDSAT/LT5_L1T_8DAY_NDVI/19840913,0.014361164817432376,
1_1_19840913_14,UCDSNM012863,0.4760333776473999,0.5156927704811096,LANDSAT/LT5_L1T_8DAY_NDVI/19840913,0.06475722274800913,
1_1_19840913_17,UCDSNM014209,0.4529591454909398,0.4502239227294922,LANDSAT/LT5_L1T_8DAY_NDVI/19840913,0.06885967330986784,
1_1_19840913_13,UCDSNM012349,0.6174060106277466,0.6221890449523926,LANDSAT/LT5_L1T_8DAY_NDVI/19840913,0.021128782074417093,
1_1_19840921_23,UCDSNM016769,0.37209677323699,0.37434685230255127,LANDSAT/LT5_L1T_8DAY_NDVI/19840921,0.051253839677832334,
