system:index,ID,max,mean,median,source,stdDev,.geo
1_1_19900202_18,UCDSNM014503,0.6693585515022278,0.30689633652161996,0.2802772115577351,LANDSAT/LT5_L1T_8DAY_NDWI/19900202,0.09048799693635078,
1_1_19900202_10,UCDSNM011455,0.7810007929801941,0.732136566724096,0.7317731499671936,LANDSAT/LT5_L1T_8DAY_NDWI/19900202,0.015287029775036274,
1_1_19900202_9,UCDSNM011447,0.7840705513954163,0.7303665081659952,0.7282972931861877,LANDSAT/LT5_L1T_8DAY_NDWI/19900202,0.016335585337427107,
1_1_19900202_11,UCDSNM011536,0.7170060873031616,0.6670855624335152,0.6811089515686035,LANDSAT/LT5_L1T_8DAY_NDWI/19900202,0.03733165918001136,
1_1_19900202_16,UCDSNM013064,0.8476683497428894,0.7689802318811416,0.762575775384903,LANDSAT/LT5_L1T_8DAY_NDWI/19900202,0.04041801250807711,
1_1_19900202_7,UCDSNM005339,0.5366955399513245,0.47429351927189345,0.4812539517879486,LANDSAT/LT5_L1T_8DAY_NDWI/19900202,0.04121250617132569,
1_1_19900202_15,UCDSNM012985,0.8040801286697388,0.7525698325850747,0.7555882930755615,LANDSAT/LT5_L1T_8DAY_NDWI/19900202,0.037987841237032596,
1_1_19900202_14,UCDSNM012863,0.8193654417991638,0.7279838681221008,0.7889295816421509,LANDSAT/LT5_L1T_8DAY_NDWI/19900202,0.09255988442644976,
1_1_19900202_17,UCDSNM014209,0.348949670791626,0.28111494733737064,0.2796771228313446,LANDSAT/LT5_L1T_8DAY_NDWI/19900202,0.04165227169967623,
1_1_19900202_8,UCDSNM009725,0.810305118560791,0.7846362709999084,0.776526153087616,LANDSAT/LT5_L1T_8DAY_NDWI/19900202,0.01733167821005615,
1_1_19900202_13,UCDSNM012349,0.768915593624115,0.7469157576560974,0.7635431885719299,LANDSAT/LT5_L1T_8DAY_NDWI/19900202,0.027401520568493064,
1_1_19900210_12,UCDSNM011600,0.6905064582824707,0.4916794512953077,0.45924970507621765,LANDSAT/LT5_L1T_8DAY_NDWI/19900210,0.10096628061571926,
1_1_19900210_22,UCDSNM016589,1.0,0.8964590457601285,0.9164237812161445,LANDSAT/LT5_L1T_8DAY_NDWI/19900210,0.061304682029850635,
1_1_19900210_19,UCDSNM015782,0.9545145630836487,0.9022726953684629,0.921556830406189,LANDSAT/LT5_L1T_8DAY_NDWI/19900210,0.049433787113283445,
1_1_19900210_6,UCDSNM004476,0.6480758786201477,0.592329948036759,0.5970931351184845,LANDSAT/LT5_L1T_8DAY_NDWI/19900210,0.03923390845025652,
1_1_19900210_10,UCDSNM011455,0.7920735478401184,0.755927136433976,0.7670705914497375,LANDSAT/LT5_L1T_8DAY_NDWI/19900210,0.03056800929593469,
1_1_19900210_9,UCDSNM011447,0.7831740379333496,0.6912349909543991,0.6927489936351776,LANDSAT/LT5_L1T_8DAY_NDWI/19900210,0.03795006236840606,
1_1_19900210_11,UCDSNM011536,0.7817997932434082,0.63674358243034,0.626492977142334,LANDSAT/LT5_L1T_8DAY_NDWI/19900210,0.06244556106867125,
1_1_19900210_7,UCDSNM005339,0.7382898330688477,0.5993387136566505,0.6242953538894653,LANDSAT/LT5_L1T_8DAY_NDWI/19900210,0.09290783010352079,
1_1_19900210_21,UCDSNM016565,0.9064785242080688,0.7815614566206932,0.7667814195156097,LANDSAT/LT5_L1T_8DAY_NDWI/19900210,0.051145342144833864,
1_1_19900210_20,UCDSNM016357,0.9167269468307495,0.8463782930374145,0.8761104941368103,LANDSAT/LT5_L1T_8DAY_NDWI/19900210,0.059106982478075366,
1_1_19900210_23,UCDSNM016769,0.9698988795280457,0.927533412973086,0.9397147595882416,LANDSAT/LT5_L1T_8DAY_NDWI/19900210,0.04091302235931777,
1_1_19900210_5,UCDSNM003796,0.7447114586830139,0.6495099717920477,0.6564595103263855,LANDSAT/LT5_L1T_8DAY_NDWI/19900210,0.04604953778018464,
1_1_19900210_8,UCDSNM009725,0.5225045680999756,0.2416498713195324,0.2921539545059204,LANDSAT/LT5_L1T_8DAY_NDWI/19900210,0.20257377411757527,
1_1_19900218_3,UCDSNM000426,0.9197483062744141,0.839849996505611,0.8389149021643859,LANDSAT/LT5_L1T_8DAY_NDWI/19900218,0.03213835516695027,
1_1_19900218_4,UCDSNM001115,0.87799072265625,0.7875473926138339,0.7867332342508677,LANDSAT/LT5_L1T_8DAY_NDWI/19900218,0.03201992577058466,
1_1_19900218_12,UCDSNM011600,0.7330922484397888,0.6823192058607589,0.6840860247612,LANDSAT/LT5_L1T_8DAY_NDWI/19900218,0.018348132346105526,
1_1_19900218_18,UCDSNM014503,0.8482708930969238,0.7774684272619536,0.7739154160022735,LANDSAT/LT5_L1T_8DAY_NDWI/19900218,0.020748085384443157,
1_1_19900218_10,UCDSNM011455,0.787055492401123,0.7186860649713448,0.7108326256275177,LANDSAT/LT5_L1T_8DAY_NDWI/19900218,0.020822414094708266,
1_1_19900218_9,UCDSNM011447,0.7713478803634644,0.7303469686044587,0.7290304064750671,LANDSAT/LT5_L1T_8DAY_NDWI/19900218,0.019887476472311354,
1_1_19900218_11,UCDSNM011536,0.8399589657783508,0.7976098159948984,0.8089918196201324,LANDSAT/LT5_L1T_8DAY_NDWI/19900218,0.04046135894608254,
1_1_19900218_16,UCDSNM013064,0.8563714027404785,0.7802838057279586,0.7888984680175781,LANDSAT/LT5_L1T_8DAY_NDWI/19900218,0.04522937734281007,
1_1_19900218_7,UCDSNM005339,0.8048850893974304,0.7451614744207832,0.7448278069496155,LANDSAT/LT5_L1T_8DAY_NDWI/19900218,0.019721787619949492,
1_1_19900218_23,UCDSNM016769,0.759350597858429,0.7312180623412132,0.7326869368553162,LANDSAT/LT5_L1T_8DAY_NDWI/19900218,0.011302050134495473,
1_1_19900218_15,UCDSNM012985,0.7896342873573303,0.7703822688622908,0.7733777761459351,LANDSAT/LT5_L1T_8DAY_NDWI/19900218,0.015058710972609978,
1_1_19900218_14,UCDSNM012863,0.8184866309165955,0.7462300658226013,0.74275803565979,LANDSAT/LT5_L1T_8DAY_NDWI/19900218,0.044184695475057996,
1_1_19900218_17,UCDSNM014209,0.896419107913971,0.796340172107403,0.8077983260154724,LANDSAT/LT5_L1T_8DAY_NDWI/19900218,0.05511968732606757,
1_1_19900218_2,UCDSNM000195,0.9224040508270264,0.8727885058947972,0.8826220333576202,LANDSAT/LT5_L1T_8DAY_NDWI/19900218,0.04678295876408936,
1_1_19900218_8,UCDSNM009725,0.8382735252380371,0.7942808389663696,0.7935672998428345,LANDSAT/LT5_L1T_8DAY_NDWI/19900218,0.030357633659053886,
1_1_19900218_13,UCDSNM012349,0.6863250732421875,0.6457621057828268,0.6660510897636414,LANDSAT/LT5_L1T_8DAY_NDWI/19900218,0.0438176417825836,
1_1_19900226_12,UCDSNM011600,0.5627025961875916,0.5437697526624432,0.5447179079055786,LANDSAT/LT5_L1T_8DAY_NDWI/19900226,0.007088201354579654,
1_1_19900226_22,UCDSNM016589,0.8677800893783569,0.45470900080004417,0.4315377374490102,LANDSAT/LT5_L1T_8DAY_NDWI/19900226,0.19138914014841882,
1_1_19900226_19,UCDSNM015782,0.9638411402702332,0.9057907580019353,0.9303899765014648,LANDSAT/LT5_L1T_8DAY_NDWI/19900226,0.05636438740119291,
1_1_19900226_6,UCDSNM004476,0.6555689573287964,0.6103274844310902,0.6174613833427429,LANDSAT/LT5_L1T_8DAY_NDWI/19900226,0.03443798226854,
1_1_19900226_10,UCDSNM011455,0.5643247961997986,0.5479043253830501,0.5477026700973511,LANDSAT/LT5_L1T_8DAY_NDWI/19900226,0.008409839321602162,
1_1_19900226_9,UCDSNM011447,0.5350680351257324,0.5170040126476023,0.5184399783611298,LANDSAT/LT5_L1T_8DAY_NDWI/19900226,0.010747974211801773,
1_1_19900226_11,UCDSNM011536,0.516380250453949,0.498991826460475,0.4995749443769455,LANDSAT/LT5_L1T_8DAY_NDWI/19900226,0.01160402744323075,
1_1_19900226_7,UCDSNM005339,0.7075137495994568,0.6795816468388847,0.684302806854248,LANDSAT/LT5_L1T_8DAY_NDWI/19900226,0.019845479720492245,
1_1_19900226_21,UCDSNM016565,0.8792511820793152,0.5123045410340031,0.5994077622890472,LANDSAT/LT5_L1T_8DAY_NDWI/19900226,0.23065197754413447,
1_1_19900226_20,UCDSNM016357,0.9594952464103699,0.8961849451065064,0.908751368522644,LANDSAT/LT5_L1T_8DAY_NDWI/19900226,0.0532467905542333,
1_1_19900226_23,UCDSNM016769,0.9545132517814636,0.904235765337944,0.9184675514698029,LANDSAT/LT5_L1T_8DAY_NDWI/19900226,0.045919224071690794,
1_1_19900226_5,UCDSNM003796,0.5364519953727722,0.4963830682364377,0.5034502744674683,LANDSAT/LT5_L1T_8DAY_NDWI/19900226,0.02584729163447924,
1_1_19900226_8,UCDSNM009725,0.49633288383483887,0.488226044178009,0.4855160713195801,LANDSAT/LT5_L1T_8DAY_NDWI/19900226,0.006020144099345353,
1_1_19900306_12,UCDSNM011600,0.9385444521903992,0.8920531700615867,0.9111138922827584,LANDSAT/LT5_L1T_8DAY_NDWI/19900306,0.045128399823609416,
1_1_19900306_18,UCDSNM014503,0.8656986951828003,0.8240017493179336,0.8252792244865781,LANDSAT/LT5_L1T_8DAY_NDWI/19900306,0.017875686321015525,
1_1_19900306_10,UCDSNM011455,0.8883296251296997,0.8431796351713794,0.8387241959571838,LANDSAT/LT5_L1T_8DAY_NDWI/19900306,0.020031467040018628,
1_1_19900306_9,UCDSNM011447,0.8913439512252808,0.8482446124156316,0.8453119099140167,LANDSAT/LT5_L1T_8DAY_NDWI/19900306,0.02008038899187242,
1_1_19900306_11,UCDSNM011536,0.932794988155365,0.8847180235953558,0.9004120230674744,LANDSAT/LT5_L1T_8DAY_NDWI/19900306,0.03956568303289358,
1_1_19900306_16,UCDSNM013064,0.8590302467346191,0.8051145657896995,0.8100020289421082,LANDSAT/LT5_L1T_8DAY_NDWI/19900306,0.03665029654604038,
1_1_19900306_15,UCDSNM012985,0.8585599064826965,0.8233218355612322,0.826310932636261,LANDSAT/LT5_L1T_8DAY_NDWI/19900306,0.02858170072412634,
1_1_19900306_14,UCDSNM012863,0.9084873199462891,0.7701059579849243,0.7960440516471863,LANDSAT/LT5_L1T_8DAY_NDWI/19900306,0.09876256970546016,
1_1_19900306_17,UCDSNM014209,0.8840252757072449,0.8343986593759977,0.8375264406204224,LANDSAT/LT5_L1T_8DAY_NDWI/19900306,0.03547196141709132,
1_1_19900306_8,UCDSNM009725,0.22071976959705353,0.11485385298728942,0.14114627242088318,LANDSAT/LT5_L1T_8DAY_NDWI/19900306,0.09648754743221787,
1_1_19900306_13,UCDSNM012349,0.9135969281196594,0.8645099202791849,0.901138961315155,LANDSAT/LT5_L1T_8DAY_NDWI/19900306,0.060823411120320144,
1_1_19900314_12,UCDSNM011600,0.9662548899650574,0.8911204245003355,0.9166107177734375,LANDSAT/LT5_L1T_8DAY_NDWI/19900314,0.06039677386605529,
1_1_19900314_22,UCDSNM016589,0.7311645746231079,0.21918459445421815,0.15140836934248605,LANDSAT/LT5_L1T_8DAY_NDWI/19900314,0.23741604563644236,
1_1_19900314_19,UCDSNM015782,0.6959165334701538,0.640212764451792,0.6542789340019226,LANDSAT/LT5_L1T_8DAY_NDWI/19900314,0.035344176581569714,
1_1_19900314_6,UCDSNM004476,0.9527474641799927,0.9186701366194973,0.932702898979187,LANDSAT/LT5_L1T_8DAY_NDWI/19900314,0.03327270988901165,
1_1_19900314_10,UCDSNM011455,0.930498480796814,0.8932806429054055,0.8928610881169637,LANDSAT/LT5_L1T_8DAY_NDWI/19900314,0.015520042813566204,
1_1_19900314_9,UCDSNM011447,0.9503813982009888,0.9239210858941078,0.9279661178588867,LANDSAT/LT5_L1T_8DAY_NDWI/19900314,0.01565332971173157,
1_1_19900314_11,UCDSNM011536,0.9492520093917847,0.9065728911331722,0.92706698179245,LANDSAT/LT5_L1T_8DAY_NDWI/19900314,0.039106601796062776,
1_1_19900314_7,UCDSNM005339,0.9047990441322327,0.8545676041185186,0.87591419617335,LANDSAT/LT5_L1T_8DAY_NDWI/19900314,0.06442937257023487,
1_1_19900314_21,UCDSNM016565,0.5963836908340454,0.3900999650359154,0.40130166709423065,LANDSAT/LT5_L1T_8DAY_NDWI/19900314,0.10993127477074724,
1_1_19900314_20,UCDSNM016357,0.5321744084358215,0.5071666252613067,0.510857880115509,LANDSAT/LT5_L1T_8DAY_NDWI/19900314,0.016562495228072637,
