system:index,image_date,mean,median,source,std,variance,.geo
1_1_19940101,757382400000,{NDWI=0.9140310201666175},{NDWI=0.9397075503480201},LANDSAT/LT5_L1T_32DAY_NDWI/19940101,{NDWI=0.06845386829142648},{NDWI=0.004685932084059964},
1_1_19940202,760147200000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_32DAY_NDWI/19940202,{NDWI=null},{NDWI=null},
1_1_19940306,762912000000,{NDWI=0.8255807828884465},{NDWI=0.894403382351524},LANDSAT/LT5_L1T_32DAY_NDWI/19940306,{NDWI=0.17301715547592725},{NDWI=0.029934936088981182},
1_1_19940407,765676800000,{NDWI=0.2448661972636291},{NDWI=0.2479801575342814},LANDSAT/LT5_L1T_32DAY_NDWI/19940407,{NDWI=0.13015304560397756},{NDWI=0.01693981527999106},
1_1_19940509,768441600000,{NDWI=0.3866291148964265},{NDWI=0.3960484774024398},LANDSAT/LT5_L1T_32DAY_NDWI/19940509,{NDWI=0.09105602448874782},{NDWI=0.008291199595695443},
1_1_19940610,771206400000,{NDWI=0.1774621088056977},{NDWI=0.18966000214699777},LANDSAT/LT5_L1T_32DAY_NDWI/19940610,{NDWI=0.12738577923423028},{NDWI=0.01622713675111205},
1_1_19940712,773971200000,{NDWI=-0.015123739848100939},{NDWI=-0.029805584274458164},LANDSAT/LT5_L1T_32DAY_NDWI/19940712,{NDWI=0.09232206084002817},{NDWI=0.008523362917749864},
1_1_19940813,776736000000,{NDWI=-0.07241154143398462},{NDWI=-0.08787471990693699},LANDSAT/LT5_L1T_32DAY_NDWI/19940813,{NDWI=0.07608293958893382},{NDWI=0.005788613696493352},
1_1_19940914,779500800000,{NDWI=-0.09373314292652768},{NDWI=-0.11143031972842138},LANDSAT/LT5_L1T_32DAY_NDWI/19940914,{NDWI=0.08149016835157967},{NDWI=0.006640647537968796},
1_1_19941016,782265600000,{NDWI=-0.10013684489328577},{NDWI=-0.1275871355743969},LANDSAT/LT5_L1T_32DAY_NDWI/19941016,{NDWI=0.10240577847920405},{NDWI=0.010486943465931813},
1_1_19941117,785030400000,{NDWI=0.6195175904323933},{NDWI=0.6184892058372498},LANDSAT/LT5_L1T_32DAY_NDWI/19941117,{NDWI=0.035253268957717215},{NDWI=0.0012427929722051484},
1_1_19941219,787795200000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_32DAY_NDWI/19941219,{NDWI=null},{NDWI=null},
1_1_19950101,788918400000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_32DAY_NDWI/19950101,{NDWI=null},{NDWI=null},
1_1_19950202,791683200000,{NDWI=0.4682459290624505},{NDWI=0.46935151682959664},LANDSAT/LT5_L1T_32DAY_NDWI/19950202,{NDWI=0.08090965293385523},{NDWI=0.0065463719378769086},
1_1_19950306,794448000000,{NDWI=0.8358077792395667},{NDWI=0.8525344484472928},LANDSAT/LT5_L1T_32DAY_NDWI/19950306,{NDWI=0.04634157747777967},{NDWI=0.002147541803129056},
1_1_19950407,797212800000,{NDWI=0.5291017656800275},{NDWI=0.5447283606780203},LANDSAT/LT5_L1T_32DAY_NDWI/19950407,{NDWI=0.11472941950306947},{NDWI=0.013162839699511297},
