system:index,image_date,mean,median,source,std,variance,.geo
1_1_19960202,823219200000,{NDWI=0.47233554980409587},{NDWI=0.47562529584940744},LANDSAT/LT5_L1T_32DAY_NDWI/19960202,{NDWI=0.08274818535200444},{NDWI=0.006847262179049683},
1_1_19960305,825984000000,{NDWI=0.8486387614022263},{NDWI=0.8690446347503339},LANDSAT/LT5_L1T_32DAY_NDWI/19960305,{NDWI=0.09988369100589412},{NDWI=0.009976751728960934},
1_1_19960406,828748800000,{NDWI=0.9426755477945865},{NDWI=0.9500357458988825},LANDSAT/LT5_L1T_32DAY_NDWI/19960406,{NDWI=0.027105033529164373},{NDWI=7.346828426171249E-4},
1_1_19960508,831513600000,{NDWI=0.09004180818536651},{NDWI=0.062291891333696094},LANDSAT/LT5_L1T_32DAY_NDWI/19960508,{NDWI=0.1590790118225753},{NDWI=0.025306132002447055},
1_1_19960609,834278400000,{NDWI=0.19446057981126072},{NDWI=0.1973541762147631},LANDSAT/LT5_L1T_32DAY_NDWI/19960609,{NDWI=0.1549942393452001},{NDWI=0.024023214230197175},
1_1_19960711,837043200000,{NDWI=0.15287864874400142},{NDWI=0.1428324337068357},LANDSAT/LT5_L1T_32DAY_NDWI/19960711,{NDWI=0.13331298797475388},{NDWI=0.01777235276275687},
1_1_19960812,839808000000,{NDWI=0.07554659317398144},{NDWI=0.05676868447551021},LANDSAT/LT5_L1T_32DAY_NDWI/19960812,{NDWI=0.11583278933471569},{NDWI=0.013417235085060627},
1_1_19960913,842572800000,{NDWI=-0.06865141784644185},{NDWI=-0.07998398326489391},LANDSAT/LT5_L1T_32DAY_NDWI/19960913,{NDWI=0.07693734771962672},{NDWI=0.005919355474130751},
1_1_19961015,845337600000,{NDWI=0.14056874844364078},{NDWI=0.13010093693931898},LANDSAT/LT5_L1T_32DAY_NDWI/19961015,{NDWI=0.07071795285405934},{NDWI=0.00500102885586896},
1_1_19961116,848102400000,{NDWI=0.26492682129232153},{NDWI=0.256858524577371},LANDSAT/LT5_L1T_32DAY_NDWI/19961116,{NDWI=0.06947411668651936},{NDWI=0.004826652889372107},
1_1_19961218,850867200000,{NDWI=0.7244558620709496},{NDWI=0.7248097702308938},LANDSAT/LT5_L1T_32DAY_NDWI/19961218,{NDWI=0.026918659228831573},{NDWI=7.246142146779592E-4},
1_1_19970101,852076800000,{NDWI=0.7244558620709496},{NDWI=0.7248097702308938},LANDSAT/LT5_L1T_32DAY_NDWI/19970101,{NDWI=0.026918659228831573},{NDWI=7.246142146779592E-4},
1_1_19970202,854841600000,{NDWI=0.894841134169097},{NDWI=0.897504750510742},LANDSAT/LT5_L1T_32DAY_NDWI/19970202,{NDWI=0.025920529207480066},{NDWI=6.718738343958271E-4},
1_1_19970306,857606400000,{NDWI=0.9475872426233646},{NDWI=0.9543185866909263},LANDSAT/LT5_L1T_32DAY_NDWI/19970306,{NDWI=0.026142426271207702},{NDWI=6.834264513455307E-4},
1_1_19970407,860371200000,{NDWI=0.6667762733576159},{NDWI=0.7459355269869169},LANDSAT/LT5_L1T_32DAY_NDWI/19970407,{NDWI=0.2374243111858885},{NDWI=0.056370303542093624},
1_1_19970509,863136000000,{NDWI=0.13876977255662454},{NDWI=0.13487729754136957},LANDSAT/LT5_L1T_32DAY_NDWI/19970509,{NDWI=0.12347343891295767},{NDWI=0.01524569011699189},
1_1_19970610,865900800000,{NDWI=0.18634610538805585},{NDWI=0.1854696214199066},LANDSAT/LT5_L1T_32DAY_NDWI/19970610,{NDWI=0.14121486482899898},{NDWI=0.01994163804867245},
1_1_19970712,868665600000,{NDWI=0.13702273761430317},{NDWI=0.1345487403018134},LANDSAT/LT5_L1T_32DAY_NDWI/19970712,{NDWI=0.11103309735153732},{NDWI=0.012328348707475964},
1_1_19970813,871430400000,{NDWI=0.021912457853467585},{NDWI=0.013857236941871435},LANDSAT/LT5_L1T_32DAY_NDWI/19970813,{NDWI=0.08624473493456396},{NDWI=0.007438154303933198},
1_1_19970914,874195200000,{NDWI=0.04238096502764012},{NDWI=0.017322361550253372},LANDSAT/LT5_L1T_32DAY_NDWI/19970914,{NDWI=0.12787502480815635},{NDWI=0.016352021969686603},
1_1_19971016,876960000000,{NDWI=0.21737424276200526},{NDWI=0.21401874112839603},LANDSAT/LT5_L1T_32DAY_NDWI/19971016,{NDWI=0.03114475034984143},{NDWI=9.699954743539478E-4},
1_1_19971117,879724800000,{NDWI=0.7354270955821073},{NDWI=0.7476442771137886},LANDSAT/LT5_L1T_32DAY_NDWI/19971117,{NDWI=0.0368607465550446},{NDWI=0.0013587146365952323},
1_1_19971219,882489600000,{NDWI=0.7507603696880976},{NDWI=0.7551243916153908},LANDSAT/LT5_L1T_32DAY_NDWI/19971219,{NDWI=0.03728700529834491},{NDWI=0.0013903207641188012},
1_1_19980101,883612800000,{NDWI=0.8578074964641825},{NDWI=0.8663912996267661},LANDSAT/LT5_L1T_32DAY_NDWI/19980101,{NDWI=0.03466835794924009},{NDWI=0.0012018950428966388},
1_1_19980202,886377600000,{NDWI=0.25469200986705415},{NDWI=0.2514872442592274},LANDSAT/LT5_L1T_32DAY_NDWI/19980202,{NDWI=0.024756279249405017},{NDWI=6.128733622745214E-4},
1_1_19980306,889142400000,{NDWI=0.9286868245925922},{NDWI=0.9325641938392689},LANDSAT/LT5_L1T_32DAY_NDWI/19980306,{NDWI=0.019405182388316514},{NDWI=3.765611035238294E-4},
1_1_19980407,891907200000,{NDWI=0.7394944045350043},{NDWI=0.7378619800914418},LANDSAT/LT5_L1T_32DAY_NDWI/19980407,{NDWI=0.01624980926531886},{NDWI=2.640563011592427E-4},
1_1_19980509,894672000000,{NDWI=0.9068085204248559},{NDWI=0.9109736233949661},LANDSAT/LT5_L1T_32DAY_NDWI/19980509,{NDWI=0.02165349936953008},{NDWI=4.688740349462395E-4},
1_1_19980610,897436800000,{NDWI=-0.03153166418616282},{NDWI=-0.06708235136772457},LANDSAT/LT5_L1T_32DAY_NDWI/19980610,{NDWI=0.19015899311488035},{NDWI=0.03616044266246511},
1_1_19980712,900201600000,{NDWI=0.21591803393325676},{NDWI=0.2293707196201597},LANDSAT/LT5_L1T_32DAY_NDWI/19980712,{NDWI=0.13293244953582223},{NDWI=0.017671036139593924},
1_1_19980813,902966400000,{NDWI=0.1885432652924235},{NDWI=0.18983020424842834},LANDSAT/LT5_L1T_32DAY_NDWI/19980813,{NDWI=0.10835158271546744},{NDWI=0.011740065476946783},
1_1_19980914,905731200000,{NDWI=0.019201424907770034},{NDWI=0.005848556756973267},LANDSAT/LT5_L1T_32DAY_NDWI/19980914,{NDWI=0.09406447910012744},{NDWI=0.008848126228378312},
1_1_19981016,908496000000,{NDWI=0.46331633563260977},{NDWI=0.39416841599676344},LANDSAT/LT5_L1T_32DAY_NDWI/19981016,{NDWI=0.21830180667616544},{NDWI=0.04765567879807791},
1_1_19981117,911260800000,{NDWI=0.8610979525660348},{NDWI=0.8664038024450603},LANDSAT/LT5_L1T_32DAY_NDWI/19981117,{NDWI=0.031477662618188226},{NDWI=9.908432439044846E-4},
1_1_19981219,914025600000,{NDWI=0.9084008157603195},{NDWI=0.9167294958058525},LANDSAT/LT5_L1T_32DAY_NDWI/19981219,{NDWI=0.03042982617569251},{NDWI=9.25974321082861E-4},
1_1_19990101,915148800000,{NDWI=0.8101955866277101},{NDWI=0.8109011682304176},LANDSAT/LT5_L1T_32DAY_NDWI/19990101,{NDWI=0.023741711382893434},{NDWI=5.636688593886117E-4},
1_1_19990202,917913600000,{NDWI=0.9075996932918078},{NDWI=0.911397866417},LANDSAT/LT5_L1T_32DAY_NDWI/19990202,{NDWI=0.025045382551708423},{NDWI=6.272711871614207E-4},
1_1_19990306,920678400000,{NDWI=0.3702988027068267},{NDWI=0.33672754764556884},LANDSAT/LT5_L1T_32DAY_NDWI/19990306,{NDWI=0.11264964113130617},{NDWI=0.012689941647012067},
1_1_19990407,923443200000,{NDWI=0.9435064415875712},{NDWI=0.9467568883770391},LANDSAT/LT5_L1T_32DAY_NDWI/19990407,{NDWI=0.017796176336256023},{NDWI=3.1670389219111883E-4},
1_1_19990509,926208000000,{NDWI=0.26193006870878127},{NDWI=0.1853644996881485},LANDSAT/LT5_L1T_32DAY_NDWI/19990509,{NDWI=0.19805829990845153},{NDWI=0.03922709016262613},
1_1_19990610,928972800000,{NDWI=0.10330978509184434},{NDWI=0.09955035969614982},LANDSAT/LT5_L1T_32DAY_NDWI/19990610,{NDWI=0.1525140347099199},{NDWI=0.023260530783498653},
1_1_19990712,931737600000,{NDWI=0.18256967272703162},{NDWI=0.18380479963998947},LANDSAT/LT5_L1T_32DAY_NDWI/19990712,{NDWI=0.14386694076846837},{NDWI=0.020697696646077984},
1_1_19990813,934502400000,{NDWI=0.1545472647883713},{NDWI=0.1423291537691565},LANDSAT/LT5_L1T_32DAY_NDWI/19990813,{NDWI=0.12653573556952916},{NDWI=0.016011292376121804},
1_1_19990914,937267200000,{NDWI=-0.041884230796635356},{NDWI=-0.061030577713002764},LANDSAT/LT5_L1T_32DAY_NDWI/19990914,{NDWI=0.09128451330701894},{NDWI=0.008332862369699318},
1_1_19991016,940032000000,{NDWI=0.558106616840182},{NDWI=0.6038338216868314},LANDSAT/LT5_L1T_32DAY_NDWI/19991016,{NDWI=0.194469793050573},{NDWI=0.037818500409132684},
1_1_19991117,942796800000,{NDWI=0.7955137717513889},{NDWI=0.7996049530622436},LANDSAT/LT5_L1T_32DAY_NDWI/19991117,{NDWI=0.024482337759392524},{NDWI=5.99384862164977E-4},
1_1_19991219,945561600000,{NDWI=0.5879712148830148},{NDWI=0.61908717751503},LANDSAT/LT5_L1T_32DAY_NDWI/19991219,{NDWI=0.16445372008470105},{NDWI=0.0270450260496972},
1_1_20000101,946684800000,{NDWI=0.9327560845186565},{NDWI=0.934020629950932},LANDSAT/LT5_L1T_32DAY_NDWI/20000101,{NDWI=0.019957991515230332},{NDWI=3.9832142532200595E-4},
1_1_20000202,949449600000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_32DAY_NDWI/20000202,{NDWI=null},{NDWI=null},
